DATE,USER,MESSAGE
2026-03-09 12:30:34,SharePlan,안녕하세요. 무엇을 도와드릴까요?
2026-03-09 12:35:06,DH,언녕하세요..유튜브 가입 문의드립니다.
2026-03-09 12:35:22,DH,혹시 패밀리계정인가요?
2026-03-09 12:35:44,SharePlan,안녕하세요 
2026-03-09 12:35:56,DH,패밀리계정쓰니까 한달마다 가입이 풀려서요..
2026-03-09 12:36:57,SharePlan,"네, 패밀리 계정 입니다.
서비스 품질은 동일 힙니다.
저의가 운용 하는 패밀리 계정은 안정 합니다."
2026-03-09 12:37:21,SharePlan,현지 운용 관리 합니다
2026-03-09 12:38:54,SharePlan,"또한, 문제 생기면 저는 재구독와 정 안되면 환불 해드리겠습니다."
2026-03-09 12:40:37,DH,여기서는 패밀리 계정이 잘 안풀린다는 건가요?
2026-03-09 12:41:10,SharePlan,"그리고, 개인화된 계정 보다는 유튜브 전용 계정을 추천 합니다. 더욱 신뢰합니다."
2026-03-09 12:41:44,SharePlan,"네, 거의 안풀립니다"
2026-03-09 12:42:35,DH,유튜브 전용 계정은 어떤건가요?
2026-03-09 12:42:43,SharePlan,제 생각에는 개인화된 계정이 리스크가 가장 높은 것 같습니다
2026-03-09 12:42:56,SharePlan,새로운 계정 입니다
2026-03-09 12:43:09,DH,유튜브 전용 계정은 따로 만드는 방법이 있나요?
2026-03-09 12:43:56,DH,몇달동안 새로운계정 만들었는데도 풀리더라구요...
2026-03-09 12:44:07,SharePlan,단순히 새로운 계정 입니다. 유트브 가입을 위해 만든 새로운 계정 입니다
2026-03-09 12:45:59,DH,"지금 새로운 계정에서 유튜브 프리미엄 1달 무료사용중이고 13일에 끝나는데요,,,,이 계정 사용해도 될까요?"
2026-03-09 12:46:07,SharePlan,"그 것은, 관리자가 하는 운용 방법 때문에 그런 것 같습니다.

저는 계정을 여기서(한국) 직접 만들지 않습니다"
2026-03-09 12:47:04,SharePlan,"네, 괜찮을 것 같습니다.
만일 풀리면 즉시 재가입으로 도와드리겠습니다 "
2026-03-09 12:47:32,DH,네... 13일에 가입하겠습니다.
2026-03-09 12:49:19,SharePlan,"네, 알겠습니다 "
2026-03-13 13:53:13,SharePlan,안녕하세요. 무엇을 도와드릴까요?
2026-03-13 13:56:05,DH,안녕히세요 유튜브 6개월 가입원합니다
2026-03-13 13:56:21,SharePlan,안녕하세요 
2026-03-13 13:56:27,SharePlan,"네, 알겠습니다 "
2026-03-13 13:57:50,DH,등록후 자꾸 풀리면 너무 힘들던데요... 같은 이메일도 못쓰고....혹시 잘 풀리진 안겠죠?
2026-03-13 13:59:39,SharePlan,"혹시 나중에 연장할 의향 있으세요?
6개월 기간은 패밀리 그룹 변경이 연 1회만 허용 되어서 12개월을 권장 하고 싶습니다.

계속 풀리는 것 대해서는 새로운 계정와 프로필에 신용카드를 전혀 등록하지 않고 전용 계정으로 사용하는 것이 가탕 안전 합니다."
2026-03-13 14:00:10,SharePlan,비용은 천천히 입금 해주셔도 됩니다
