DATE,USER,MESSAGE
2026-01-26 21:57:55,SharePlan,"안녕하세요. 무엇을 도와드릴까요?
- 이전 페이지: https://s.ppomppu.co.kr/"
2026-01-26 21:58:04,HJ,유튜브 프리미엄
2026-01-26 21:58:11,HJ,1년 비용 궁금합니다~!
2026-01-26 22:12:16,HJ,결제 안내
2026-01-26 22:12:16,SharePlan(메뉴),"쉐어플랜(SharePlan)
계좌번호: 43414622001010 (IBK기업은행)
예금주: 최웅비
연락처: 010-2364-8676

양식:
(서비스명, 가입기간, 이메일ID, 입금좌명, 입금 금액)

을 메시지로 남겨 주시면 가입을 완료 해드리겠습니다. "
2026-01-26 22:12:20,HJ,서비스 목록
2026-01-26 22:12:20,SharePlan(메뉴),"서비스 목록:
1. 유튜브 프리미엄(Youtube)
2. Canva Pro
2. 코세라 플러스(Coursera)"
2026-01-27 00:42:28,SharePlan,"안녕하세요.
12개월 구독은 4만원 입니다. 지금 재고가 없어서  6개만 가능합니다."
2026-01-27 00:43:06,SharePlan,아이디 알려주시면 가입 진행 해드리겠습니다
2026-01-27 07:55:25,HJ,6개라는게 무슨말인지요?
2026-01-27 07:55:31,HJ,6개월만 된다구요~
2026-01-27 07:55:33,HJ,?
2026-01-27 07:56:20,SharePlan,"네, 맞습니다"
2026-01-27 08:20:14,HJ,그럼 2만원인가요?
2026-01-27 08:20:23,HJ,이후엔 1년치 나올 수도 있나요.
2026-01-27 08:21:38,SharePlan,"네, 그런데 정확한 날짜는 아직 모르겠습니다"
2026-01-27 08:24:51,HJ,넵 2만원 입금할게요~
2026-01-27 08:26:50,SharePlan,6개월 구독료는 단가가 작아서 비용이 다릅니다
2026-01-27 08:38:23,HJ,아 넵 얼만가요?
2026-01-27 08:39:50,SharePlan,"6개월은 25,000 입니다.
추후 재고가 생기면 알려드리겠습니다"
2026-01-27 09:20:23,HJ,넵 
2026-01-27 09:22:36,HJ,입금했습니다~
2026-01-27 09:22:40,HJ,제 아이디로 계속 쓰게되는거지요?
2026-01-27 14:09:51,SharePlan,"네, 맞습니다"
2026-01-27 14:10:23,SharePlan,아이디가 어떻게 될까요?
2026-01-27 14:24:18,HJ,hyunji880321@지메일이에요
2026-01-27 14:45:15,HJ,얼른
2026-01-27 14:45:18,HJ,처리해주세요ㅜ
2026-01-27 14:45:23,SharePlan,"곧 완료 될 예정이고
12개월 가능합니다"
2026-01-27 14:46:16,HJ,네 오
2026-01-27 14:46:22,HJ,15000원 더드림
2026-01-27 14:46:24,HJ,되사요
2026-01-27 14:46:57,SharePlan,"네, 12개월으로 기록 해드리겠습니다"
2026-01-27 14:51:45,HJ,네 했습ㄴ디ㅏ~
2026-01-27 15:05:35,SharePlan,"네, 알겠습니다. 
오늘 답변이 조금 늦었는데 평소에는 그렇지 않습니다. 만일 문제 발생시 저 에게 문자/전화로 알려주시면 반드시 해결 해드리겠습니다."
2026-01-27 15:05:46,SharePlan,SharePlan 채널을 추가하시면 광고와 마케팅 메시지를 카카오톡으로 받아 볼 수 있습니다.
2026-01-27 15:06:28,HJ,네^^
2026-01-27 15:06:55,HJ,된건가요
2026-01-27 15:41:39,HJ,저 어제 밤부터
2026-01-27 15:41:44,HJ,계속 기다리는중인데요..
2026-01-27 15:41:50,HJ,지금 안되나요?
