DATE,USER,MESSAGE
2025-12-17 09:52:25,TY,A/S 신청
2025-12-17 09:52:25,SharePlan(메뉴),"[서비스명, 사용자 아이디]를 채팅창 남겨주세요. 

문자 메시지로 보내주셔도 괸찮습니다.
전화: 010-2364-8676
"
2025-12-17 09:52:32,TY,서비스 목록
2025-12-17 09:52:32,SharePlan(메뉴),"서비스 목록:
1. 유튜브 프리미엄(Youtube)
2. Canva Pro
2. 코세라 플러스(Coursera)"
2025-12-17 09:52:34,TY,결제 안내
2025-12-17 09:52:34,SharePlan(메뉴),"쉐어플랜(SharePlan)
계좌번호: 43414622001010 (IBK기업은행)
예금주: 최웅비
연락처: 010-2364-8676

양식:
(서비스명, 가입기간, 이메일ID, 입금좌명, 입금 금액)

을 메시지로 남겨 주시면 가입을 완료 해드리겠습니다. "
2025-12-17 09:56:50,TY,"1년 가입하려고 하는데요, 4만원을 기업은행으로 보내고 구글 아이디 알려드리면 되나요.?"
2025-12-17 10:34:26,SharePlan,"네, 결제 후 바로 진행 해드리겠습니다"
2025-12-18 09:34:28,SharePlan,안녕하세요
2025-12-18 09:34:55,SharePlan,아직도 가입이 필요 하세요?
