DATE,USER,MESSAGE
2025-12-02 14:18:59,SharePlan,안녕하세요. 무엇을 도와드릴까요?
2025-12-02 14:19:12,do,서비스 목록
2025-12-02 14:19:12,SharePlan(메뉴),"서비스 목록:
1. 유튜브 프리미엄(Youtube)
2. Canva Pro
2. 코세라 플러스(Coursera)"
2025-12-02 14:21:10,do,안녕하세요 입금하고 메시지 보내드리면 되나요? 확인하시면 바로 유튜브 프리미엄 사용할 수 있을까요? 
2025-12-02 14:21:42,SharePlan,안녕하세요
2025-12-02 14:21:59,SharePlan,"네, 결제 후 진행 해드리겠습니다"
2025-12-02 14:24:53,do,bokdori226 / 유튜브12개월 / 40000원 / 도혜리
2025-12-02 14:42:59,SharePlan,"네, 알겠습니다"
2025-12-02 14:43:12,SharePlan,잠시 후 완료 되면 알려드리겠습니다
2025-12-02 14:43:18,do,네
2025-12-02 14:52:15,SharePlan,"네, 완료 되었습니다"
2025-12-02 14:52:24,SharePlan,이메일으로 초대장 보냈습니다
2025-12-02 14:56:26,do,확인하였습니다 26년12월1일까지인가요?
2025-12-02 15:08:06,SharePlan,네
2025-12-02 15:08:41,do,네 확인감사합니다
2025-12-02 15:25:34,SharePlan,SharePlan 채널을 추가하시면 광고와 마케팅 메시지를 카카오톡으로 받아 볼 수 있습니다.
2025-12-02 15:26:25,SharePlan,문제 발생하면 저 에게 전화/문자 해주시면 반드시 해결 해드리겠습니다.
