DATE,USER,MESSAGE
2025-06-11 17:48:03,동우,먼저 입금을 해야할까요? 
2025-06-11 17:53:05,동우,사진
2025-06-11 17:54:35,SharePlan,안녕하세요
2025-06-11 17:54:49,동우,네 안녕하세요 사진은 잘못보냈습니다 ㅠ
2025-06-11 17:54:49,SharePlan,지금 새로운 가입은 일지 중지 했습니다
2025-06-11 17:54:56,동우,아 그렇군요 알겠습니다 
2025-06-11 17:55:06,동우,가입할때 가족결합이 되어있으면 탈퇴하고나서 해야하는거죠?
2025-06-11 17:55:09,동우,새로구하신다면
2025-06-11 17:55:18,SharePlan,네
2025-06-11 17:55:22,동우,알겠습니다 
2025-06-11 17:55:28,SharePlan,먼저 탈퇴 하셔야 합니다
2025-06-11 17:55:35,동우,구하실때 다시 연락드리겠습니다
2025-06-11 17:55:45,SharePlan,"네, 감사합니다"
2026-03-30 20:05:32,SharePlan,"안녕하세요! SharePlan입니다. 
바쁘신 고객님을 위해 선결제 후 우선 활성화 서비스를 제공해 드리고 있습니다. 답변만 주시면 바로 광고 없이 시청 가능합니다.

1년 플랜이 계정 관리 면에서 가장 안정적이라 추천해 드리고 있으며, 비용은 이번 달과 다음 달로 나누어 부담 없이 결제하셔도 됩니다. 이용하시겠다면 답변 부탁드려요!

가격:
6개월: 25,000원
12개월: 50,000원"
2026-03-30 20:23:03,동우,저 기간이 만료되나요?
2026-03-30 20:26:18,SharePlan,제가 잘 못 보낸 것 같습니다
2026-03-30 20:26:35,동우,네
2026-03-30 20:26:42,SharePlan,네~
