DATE,USER,MESSAGE
2025-06-13 01:35:43,SharePlan,"'SharePlan' 입니다.  궁금한 내용이 있으면 메시지를 입력해주세요.
(채널 안내 공지)

안녕하세요, 채널 운영자입니다.

현재 유튜브 구독권 안정성 점검을 위해 신규 가입을 일시 중단합니다.
일시 중단 기간: ~ 6월 24일(월)까지 (약 2주간)

점검이 완료된 후, 신규 가입이 재개될 경우
직접 안내드리거나, 이 공지사항을 통해 다시 알려드리겠습니다.

이용에 불편을 드려 죄송합니다.
양해해주셔서 감사합니다.
더 이상 채팅을 원치 않으시면 채팅목록에서 '채팅방 나가기'를 해 주세요."
2025-06-13 01:35:43,SharePlan,"안녕하세요. 무엇을 도와드릴까요?
- 이전 페이지: https://s.ppomppu.co.kr/"
2025-06-13 01:38:36,SharePlan,"안녕하세요. 무엇을 도와드릴까요?
- 이전 페이지: https://s.ppomppu.co.kr/"
2025-06-13 01:39:39,라하,위에 계좌로 돈 부치고 진행하면 바로 되나요?
2025-06-13 07:43:28,SharePlan,"안녕하세요, 채널 운영자입니다.
현재 유튜브 구독권 안정성 점검을 위해 신규 가입을 일시 중단합니다.
일시 중단 기간: ~ 6월 24일(월)까지 (약 2주간)
점검이 완료된 후, 신규 가입이 재개될 경우
직접 안내드리거나, 이 공지사항을 통해 다시 알려드리겠습니다.
이용에 불편을 드려 죄송합니다.
양해해주셔서 감사합니다."
2025-06-13 07:43:57,SharePlan,입금 하셨다면 환불 해드리겠습니다
2025-06-25 21:07:42,라하,지금 신규가입 되나요 
2025-06-25 21:08:10,SharePlan,안녕하세요
2025-06-25 21:09:16,SharePlan,지금 불안정해서 더 지켜 봐야 합니다
2025-06-25 21:09:28,라하,네 알겠습니다 
2025-06-25 21:10:03,SharePlan,추후 새로운 가입이 가능할 때 알려드리겠습니다
2025-06-25 21:10:12,라하,넵 
2025-08-23 20:31:33,SharePlan,"안녕하세요, 잘 지내고 계신가요?
SharePlan이 유튜브 가입을 다시 시작했습니다. 당분간 (1~2개월) 동안 6개월 구독이 가능합니다. 실험 기간 후에는 12개월 구독이 가능할 것으로 예상하고 있습니다.

새로 가입하실 때는 유튜브 전용 계정을 권장드립니다. 패밀리 멤버가 자동으로 취소되면 저희는 전체 그룹을 삭제하고 다시 만들기 때문에, 재가입 시 동일한 계정을 사용하지 못할 가능성이 높습니다."
2026-03-30 14:52:58,SharePlan,"안녕하세요! SharePlan입니다. 
바쁘신 고객님을 위해 선결제 후 우선 활성화 서비스를 제공해 드리고 있습니다. 답변만 주시면 바로 광고 없이 시청 가능합니다.

1년 플랜이 계정 관리 면에서 가장 안정적이라 추천해 드리고 있으며, 비용은 이번 달과 다음 달로 나누어 부담 없이 결제하셔도 됩니다. 이용하시겠다면 답변 부탁드려요!

가격:
6개월: 25,000원
12개월: 50,000원"
