DATE,USER,MESSAGE
2026-03-31 18:07:04,SharePlan,"안녕하세요. 무엇을 도와드릴까요?
- 이전 페이지: https://s.ppomppu.co.kr/"
2026-03-31 18:07:20,수인,사업정보가 궁금해요.
2026-03-31 18:07:20,SharePlan(메뉴),"[기본 정보]
상호: 쉐어플랜(shareplan)
사업자등록번호: 475-09-03280
대표자: 최웅비
업태/종목: 소매업, 전자상거래 소매 중개업
개업일: 2026년 2월 27일

[사업장 정보]
주소: 인천광역시 남동구 수현로136번길 30, A동 116호(만수동, 신한아파트)

[문의]
전화: 010-2364-8676
이메일: shareplan365@gmail.com"
2026-03-31 18:10:55,SharePlan,"안녕하세요. 무엇을 도와드릴까요?
- 이전 페이지: https://s.ppomppu.co.kr/"
2026-03-31 18:10:58,수인,서비스 목록
2026-03-31 18:10:58,SharePlan(메뉴),"📢 [서비스 요금표]

🍎 유튜브 프리미엄 (+뮤직)
└ 6개월: 25,000원
└ 12개월: 50,000원

🎓 코세라 플러스
└ 12개월: 120,000원

🤖 구글 AI Pro
└ 12개월: 60,000원"
2026-03-31 18:11:56,수인,안녕하세요 유튜브 프리미엄 6개월 개인계정으로 구독하고 싶은데 가능한가요?
2026-03-31 18:12:12,SharePlan,안녕하세요
2026-03-31 18:12:17,SharePlan,"네, 가능합니다"
2026-03-31 18:17:29,수인,네 어떻게 진행하면 되나요?
2026-03-31 18:27:06,SharePlan,개인 계정은 1년 가입만 필요하고 새로운 계정만 가능 합니다. 초기 설정이 필요 해서 선호한 아이디 선택 후 만들어 드립니다.
2026-03-31 18:31:41,수인,개인계장으로 6개월은 안된다는 거죠?
2026-03-31 18:33:01,SharePlan,안되는 것 같은 데 확인 해보겠습니다.
2026-03-31 18:33:39,SharePlan,"네, 6개월은 힘듭니다"
2026-03-31 18:34:39,수인,네 알겠습니다 다음에 필요하면 다시 연락드릴게요
2026-03-31 18:35:39,SharePlan,"네, 알겠습니다"
2026-04-02 20:14:02,SharePlan,안녕하세요
2026-04-02 20:14:20,SharePlan,혹시 6개월 구독 아직도 필요하세요?
2026-04-02 20:14:58,SharePlan,"필요 하시다면, 아이다만 알려주시면 가입 진행 해드리겠습니다."
