DATE,USER,MESSAGE
2025-06-07 08:55:27,SharePlan,"안녕하세요. 무엇을 도와드릴까요?
- 이전 페이지: https://s.ppomppu.co.kr/"
2025-06-07 08:55:27,SharePlan,"'SharePlan' 입니다.  궁금한 내용이 있으면 메시지를 입력해주세요.
SharePlan으로 온 것을 환영 합니다. 여기서 프리미엄 구독 가입 신청와 필요한 것을 말씀해주세요.
더 이상 채팅을 원치 않으시면 채팅목록에서 '채팅방 나가기'를 해 주세요."
2025-06-07 09:00:24,승희,"clss0092@gmail.com, youtube 1년, 40,000원 , 정승희"
2025-06-07 09:05:39,SharePlan,안녕하세요
2025-06-07 09:05:54,SharePlan,"네, 잠시 후 완료 해드리겠습니다"
2025-06-07 09:07:53,승희,안녕하세요! 초대장 및 가입확인 후 입금해드리면되죠??
2025-06-07 09:10:29,SharePlan,"될수 있으면 먼저 입금 해수세요.
나중에 입금 하는 방식은 문제점이 많아서 보통 이렇게 안합니다"
2025-06-07 09:14:47,SharePlan,가입 완료 하는 시간도 필요 해서 계획 해논 것이 단심 변경으로 취소되면 저도 해외 파트너에게 보낸 요청을 취소 해야 하고 변덕스러운 점이 있어서 안하고 있습니다
2025-06-07 09:15:45,SharePlan,가입할 때 한거번에 작을 하는 편이고 수정 하는 것이 상당히 번거롭습니다.
2025-06-07 09:15:55,SharePlan,작업을*
2025-06-07 10:05:41,승희,네 입금하엿습니다
2025-06-07 10:11:55,SharePlan,"네, 확인 했습니다.

제가 밖에 나와서 그런데 오늘 오후 5시에 완료 해드려도 괸찮겠습니까?"
2025-06-07 10:12:07,승희,넵
2025-06-07 10:12:26,SharePlan,알겠습니다. 제가 다시 연락 드리겠습니다
2025-06-07 17:30:13,승희,연락주시나요?
2025-06-07 17:31:04,SharePlan,"네, 곧 드리겠습니다"
2025-06-07 17:40:17,SharePlan,"지연 되어서 죄송합니다. 오늘 오후 8시 이후에 완료 할 수 있습니다. (8시~8:30)

해외 거주 파트너가 우후 5시라 알려주었는데 제가 국제시간 차이를 고려하지 않아서 제가 잘 못 했습니다.

불편을 드려서 정말 죄송합니다. 잠시 후 8시에 완료 해드리겠습니다. (헌지 시간은 2:33분입니다, 뱅글래대시)"
2025-06-07 20:36:54,SharePlan,지금 진행 하고 있습니다. 1시간 이내 완료될 예정입니다.
2025-06-07 21:46:37,SharePlan,"완료 되었습니다. 
이메일에 초대장 보냈는데 확인 부탁 합니다."
2025-06-07 22:39:43,승희,감사합니다!
2025-06-07 23:12:45,SharePlan,채널 추가 해주시면 회원 관리 하기가 용의 해서 부탁 드리겠습니다
2025-10-12 13:21:50,승희,안녕하세요. 유튜브 프리미엄 혜택이 사라져서 문의드립니다 .. ㅠ
2025-10-12 13:22:52,SharePlan,안녕하세요
2025-10-12 13:23:57,SharePlan,"네, 확인 해보겠습니다"
2025-10-12 15:29:49,SharePlan,오늘 해결해드리겠습니다. 잠시만 대기 해주세요.
2025-10-12 15:40:43,승희,네 감사합니당
2025-10-12 20:56:52,SharePlan,완료 되었습니다!
2025-10-12 21:01:05,승희,감사합니다!!
2025-10-12 21:10:06,SharePlan,좋은 밤 되세요~
2025-11-15 23:42:28,승희,안녕하세요. 유튜브 프리미엄 혜택이 사라져서 문의드립니다 .. ㅠ
2025-11-15 23:45:58,SharePlan,안녕하세요
2025-11-15 23:46:13,SharePlan,"네, 해결해드립니다"
2025-11-16 00:03:19,SharePlan,완료 되었습니다
