DATE,USER,MESSAGE
2025-10-01 09:52:23,SharePlan,"안녕하세요. 무엇을 도와드릴까요?
- 이전 페이지: https://s.ppomppu.co.kr/"
2025-10-01 09:52:29,은서,서비스 목록
2025-10-01 09:52:29,SharePlan(메뉴),"서비스 목록:
1. 유튜브 프리미엄(Youtube)
2. Canva Pro
2. 코세라 플러스(Coursera)"
2025-10-01 09:52:32,SharePlan(메뉴),"쉐어플랜(SharePlan)
계좌번호: 43414622001010 (IBK기업은행)
예금주: 최웅비
연락처: 010-2364-8676

양식:
(서비스명, 가입기간, 이메일ID, 입금좌명, 입금 금액)

을 메시지로 남겨 주시면 가입을 완료 해드리겠습니다. "
2025-10-01 09:52:32,은서,결제 안내
2025-10-01 09:52:47,은서,혹시~~ 가족멤버쉽으로 사용시 끊김문제는 없는지 궁금합니다
2025-10-01 11:12:03,SharePlan,안녕하세요
2025-10-01 11:13:08,SharePlan,드물지만 끊일 때가 있습니다. 그럴 경우 항상 해결 해드립니다.
2025-10-01 11:14:48,SharePlan,가입시 새로운 계정 사용하는 것을 추천합니다. 기존 계정은 오랫동안 개인화 되어서 더 잘 끊어진  것 같습니다
2025-10-01 11:16:23,은서,기존에 2번 그룹을 변경한 이력이 있습니다!
2025-10-01 11:16:28,은서,이 계정도 사용이 가능할까요?
2025-10-01 11:17:28,SharePlan,12개월 이내에 변경 하셨다면 안될 가능성이 있습니다
2025-10-01 11:18:13,은서,아아 여기는 기존분들은 혹시 끊어지게 되면 다른 계정으로 계속 바꿔야 하나요??
2025-10-01 11:18:33,은서,타업체는 계속 새계정을 만들어라해서 그게 불편해서 제가 연장을 안한것도 있어요
2025-10-01 11:21:44,SharePlan,"취소 되면 새계정을 만들어야 합니다.
기존 계정을 사용하고 싶어도 안되는 경우가 많습니다."
2025-10-01 11:30:03,SharePlan,"새계정을 사용하는 것이 처음에는 불편하다는 것을 이해 합니다. 유튜브 전용 계정이라 생각하시면 될것 같습니다. 

새계정은 기존 계정보다 안정하다는 장점이 있고 여러 계정을 등록하고 사용하기 쉬워서 크게 불편하지 않습니다."
2025-10-01 11:37:31,은서,네네 알겠습니다 조금만 생각해보고 다시 연락드릴께요!
2025-10-01 11:37:37,은서,혹시 1년 선불제는 운영안하시는지요?
2025-10-01 11:38:58,SharePlan,지금은 6개월 단위로만 진행하고 있습니다. 문제 없을 경우 계속 운용할 것입니다.
2025-10-01 11:42:02,SharePlan,"선결제를 원하신다면 해드리겠습니다.
문제 있을 경우 환불 해드리겠습니다."
2025-10-01 11:42:34,은서,6개월은 가족초대장방식인가요??!
2025-10-01 11:43:32,SharePlan,"네, 초대 방식입니다."
2025-10-01 11:48:41,SharePlan,개인 구독은 사용할 필요가 없는것 같습니다. 개인 구독 하는 이유는 회원 관리를 직접 하기 위해서 입니다. 그 점 외는 단점 밖에 없습니다.
2025-10-01 11:49:00,은서,아 이제 제가 여쭤보는 이유는 
2025-10-01 11:49:09,은서,1년치를 하게되면 본인계정으로 사용가능하다는 걸로 알고 있어서요!
2025-10-01 11:49:28,은서,아무래도 가족멤버쉽은 갱신이 안되시면 2-3 이내로 끊기는 걸로 알고있는데 
2025-10-01 11:49:35,은서,좀 불편하더라구요.. ㅜ
2025-10-01 11:51:35,SharePlan,가족 멤버쉽도 갱신이 가능 합니다
2025-10-01 11:53:03,SharePlan,6개월 단위로 가입을 받고 있지만 계속 운용하게될 경우 같은 계정으로 갱신할 수 있습니다.
2025-10-01 13:52:55,SharePlan,"취소되면 환불 해드리겠습니다.
제 생각에는 취소없이 사용이 가능하고 갱신도 할 수 있습니다."
2025-10-01 16:48:18,은서,6개월은 얼마에요?
2025-10-01 16:48:31,은서,다른 곳은 물어보니 가족멤버쉽은 갱신이 안되서 사용이 안된다고 하는데
2025-10-01 16:48:33,SharePlan,"25,000원 입니다."
2025-10-01 16:48:42,은서,여기는 어떻게 갱신이 계속 되나요??
2025-10-01 16:50:07,SharePlan,자동 취소만 안되면 갱신이 가능햅니다
2025-10-01 17:10:34,SharePlan,"네, 알겠습니다. 
문제 발생하면 저에게 문자/전화로 알려주시면 해결해드리겠습니다.
좋은 하루 되세요~"
2025-10-01 17:10:44,은서,네네 알겠습니다!
2025-10-01 17:11:05,SharePlan,메시지를 잘 못 보낸 것 같네요
2025-10-01 17:11:08,SharePlan,"네, 알겠습니다"
2026-03-30 14:50:37,SharePlan,"안녕하세요! SharePlan입니다. 
바쁘신 고객님을 위해 선결제 후 우선 활성화 서비스를 제공해 드리고 있습니다. 답변만 주시면 바로 광고 없이 시청 가능합니다.

1년 플랜이 계정 관리 면에서 가장 안정적이라 추천해 드리고 있으며, 비용은 이번 달과 다음 달로 나누어 부담 없이 결제하셔도 됩니다. 이용하시겠다면 답변 부탁드려요!

가격:
6개월: 25,000원
12개월: 50,000원"
