DATE,USER,MESSAGE
2025-12-19 13:13:12,SharePlan,"안녕하세요. 무엇을 도와드릴까요?
- 이전 페이지: https://s.ppomppu.co.kr/"
2025-12-19 13:13:18,하♡도유니파,서비스 목록
2025-12-19 13:13:18,SharePlan(메뉴),"서비스 목록:
1. 유튜브 프리미엄(Youtube)
2. Canva Pro
2. 코세라 플러스(Coursera)"
2025-12-19 13:14:31,하♡도유니파,유튜브 가입 가능할까요?
2025-12-19 13:20:08,SharePlan,지금 6개월만 가능한데 괜찮겠습니까?
2025-12-19 13:26:44,하♡도유니파,네~ 좋습니다
2025-12-19 13:27:32,하♡도유니파,바로 처리가 될까요?
2025-12-19 13:31:31,SharePlan,죄송하지만 지금 제고가 없다는 것을 확인했습니다
2025-12-19 13:31:56,하♡도유니파,알겠습니다
2025-12-19 13:32:25,SharePlan,내일 가능할 수도 있는데 확실하게 말할 수가 없습니다
2026-01-13 12:56:54,SharePlan,안녕하세요. 문의하셨던 유튜브 재고가 확보되어 안내드립니다. 구매를 원하시면 편하게 말씀해 주시기 바랍니다.
